domain_name,label,language,malicious_tags,all_tags,domain_length,words_count,index,word
pv-ensemble.lu,0,de,5,271,14,487,0.544999863770048,es
pv-ensemble.lu,0,de,5,271,14,487,0.5081391506652956,cookies
pv-ensemble.lu,0,de,5,271,14,487,0.40689552170787713,finden
pv-ensemble.lu,0,de,5,271,14,487,0.2807759904251664,unserer
pv-ensemble.lu,0,de,5,271,14,487,0.27949807958294093,weitere
pv-ensemble.lu,0,de,5,271,14,487,0.18860514448653062,zurück
pv-ensemble.lu,0,de,5,271,14,487,0.1878342013431452,kontakt
pv-ensemble.lu,0,de,5,271,14,487,0.13061698489434748,informationen
pv-ensemble.lu,0,de,5,271,14,487,0.1222065597059118,ber
pv-ensemble.lu,0,de,5,271,14,487,0.11179072293099436,unsere
pv-ensemble.lu,0,de,5,271,14,487,0.08309909592521918,impressum
dr-martina-waras.webnode.page,0,de,15,252,29,241,0.6623665080418448,cookies
dr-martina-waras.webnode.page,0,de,15,252,29,241,0.45834201908146144,uhr
dr-martina-waras.webnode.page,0,de,15,252,29,241,0.4201222243957537,website
dr-martina-waras.webnode.page,0,de,15,252,29,241,0.2610778851556236,mehr
dr-martina-waras.webnode.page,0,de,15,252,29,241,0.18994877140229074,ab
dr-martina-waras.webnode.page,0,de,15,252,29,241,0.16929559363558883,diese
dr-martina-waras.webnode.page,0,de,15,252,29,241,0.16370740384620389,bis
dr-martina-waras.webnode.page,0,de,15,252,29,241,0.12242225763513194,kontakt
report24.news,0,de,52,1732,13,1127,0.7709393021270287,wien
report24.news,0,de,52,1732,13,1127,0.43028682149367703,es
report24.news,0,de,52,1732,13,1127,0.38244173106096463,finden
report24.news,0,de,52,1732,13,1127,0.16435555713384645,ab
report24.news,0,de,52,1732,13,1127,0.15834107296317093,unserer
report24.news,0,de,52,1732,13,1127,0.09372596275873948,impressum
report24.news,0,de,52,1732,13,1127,0.07881020336762717,weitere
report24.news,0,de,52,1732,13,1127,0.06304336417589795,unsere
report24.news,0,de,52,1732,13,1127,0.05647522875944409,mehr
scalable.capital,0,de,15,365,16,365,0.5633012402686357,erfahren
scalable.capital,0,de,15,365,16,365,0.5156834370060576,mehr
scalable.capital,0,de,15,365,16,365,0.3751885581324632,ab
scalable.capital,0,de,15,365,16,365,0.32335636788396394,bis
scalable.capital,0,de,15,365,16,365,0.22420082139565894,informationen
scalable.capital,0,de,15,365,16,365,0.19188600874393713,unsere
scalable.capital,0,de,15,365,16,365,0.11993788378994429,weitere
scalable.capital,0,de,15,365,16,365,0.11657618743830993,neue
scalable.capital,0,de,15,365,16,365,0.11640434851423512,finden
scalable.capital,0,de,15,365,16,365,0.10719351505875872,haben
scalable.capital,0,de,15,365,16,365,0.10488226737190885,ber
scalable.capital,0,de,15,365,16,365,0.09354787757243264,es
scalable.capital,0,de,15,365,16,365,0.08060318928161309,kontakt
scalable.capital,0,de,15,365,16,365,0.07131877059764018,impressum
schule-verantworten.education,0,de,12,180,29,181,0.8937831535704722,the
schule-verantworten.education,0,de,12,180,29,181,0.44849935829789284,impressum
schreberjugend.berlin,0,de,20,525,21,1736,0.7004898020661078,berlin
schreberjugend.berlin,0,de,20,525,21,1736,0.4913483871693446,es
schreberjugend.berlin,0,de,20,525,21,1736,0.2980696081880174,haben
schreberjugend.berlin,0,de,20,525,21,1736,0.29642852208672354,unsere
schreberjugend.berlin,0,de,20,525,21,1736,0.15003376695024814,zurück
schreberjugend.berlin,0,de,20,525,21,1736,0.14407098122076056,neue
schreberjugend.berlin,0,de,20,525,21,1736,0.13277264637212857,mehr
schreberjugend.berlin,0,de,20,525,21,1736,0.111677440261135,unserer
schreberjugend.berlin,0,de,20,525,21,1736,0.06887699116373343,diese
schreberjugend.berlin,0,de,20,525,21,1736,0.049806829441346505,kontakt
schreberjugend.berlin,0,de,20,525,21,1736,0.046618489176680454,uhr
schreberjugend.berlin,0,de,20,525,21,1736,0.04406974308066851,impressum
schreberjugend.berlin,0,de,20,525,21,1736,0.038639812083943424,ab
schreberjugend.berlin,0,de,20,525,21,1736,0.03705638557682046,weitere
schreberjugend.berlin,0,de,20,525,21,1736,0.03596465341106622,finden
schreberjugend.berlin,0,de,20,525,21,1736,0.034634895254729986,informationen
schreberjugend.berlin,0,de,20,525,21,1736,0.033301733276129356,bis
recherche.smb.museum,0,de,1,33,20,174,0.8650976347618193,berlin
recherche.smb.museum,0,de,1,33,20,174,0.41162532594431694,website
recherche.smb.museum,0,de,1,33,20,174,0.22116215984975385,diese
recherche.smb.museum,0,de,1,33,20,174,0.11548153152815628,finden
recherche.smb.museum,0,de,1,33,20,174,0.1063437186571954,haben
recherche.smb.museum,0,de,1,33,20,174,0.09280625948395627,es
statistics.gem2go.page,0,de,8,573,22,595,0.818595815829133,news
statistics.gem2go.page,0,de,8,573,22,595,0.32581120221289883,informationen
statistics.gem2go.page,0,de,8,573,22,595,0.27885094625218654,unsere
statistics.gem2go.page,0,de,8,573,22,595,0.2072825089945277,impressum
statistics.gem2go.page,0,de,8,573,22,595,0.1665326841319418,mehr
statistics.gem2go.page,0,de,8,573,22,595,0.14083367293194102,cookies
statistics.gem2go.page,0,de,8,573,22,595,0.13743870919770937,of
statistics.gem2go.page,0,de,8,573,22,595,0.13643263597152216,erfahren
statistics.gem2go.page,0,de,8,573,22,595,0.13399082356286626,website
recycle.wien,0,de,8,196,12,285,0.6692610466368946,es
recycle.wien,0,de,8,196,12,285,0.5766520440735351,kontakt
recycle.wien,0,de,8,196,12,285,0.2873279513664605,unserer
recycle.wien,0,de,8,196,12,285,0.2570398849617747,bis
recycle.wien,0,de,8,196,12,285,0.2049614983495477,mehr
recycle.wien,0,de,8,196,12,285,0.1700764581504481,impressum
speisekarte.menu,0,de,14,849,16,920,0.8736116834872623,berlin
speisekarte.menu,0,de,14,849,16,920,0.24406891764510213,haben
speisekarte.menu,0,de,14,849,16,920,0.21299916524413443,es
speisekarte.menu,0,de,14,849,16,920,0.2123458597335064,neue
speisekarte.menu,0,de,14,849,16,920,0.19104515017419882,ber
speisekarte.menu,0,de,14,849,16,920,0.15314485708352604,informationen
speisekarte.menu,0,de,14,849,16,920,0.07827730887674349,mehr
speisekarte.menu,0,de,14,849,16,920,0.07341016163495669,kontakt
speisekarte.menu,0,de,14,849,16,920,0.06412903054123505,news
speisekarte.menu,0,de,14,849,16,920,0.05486703351396532,unserer
speisekarte.menu,0,de,14,849,16,920,0.05300821292310294,finden
speisekarte.menu,0,de,14,849,16,920,0.0490833415807722,bis
speisekarte.menu,0,de,14,849,16,920,0.0436905259051346,unsere
speisekarte.menu,0,de,14,849,16,920,0.03247714218160267,impressum
sbahn.berlin,0,de,23,2072,12,2197,0.9055964254720237,uhr
sbahn.berlin,0,de,23,2072,12,2197,0.3144697612448431,bis
sbahn.berlin,0,de,23,2072,12,2197,0.2616826796678548,berlin
sbahn.berlin,0,de,23,2072,12,2197,0.05212535412766617,ab
sbahn.berlin,0,de,23,2072,12,2197,0.0399883975981652,unsere
sbahn.berlin,0,de,23,2072,12,2197,0.03881323834718366,finden
sbahn.berlin,0,de,23,2072,12,2197,0.03497137773509484,ber
sbahn.berlin,0,de,23,2072,12,2197,0.029993580973222658,weitere
sbahn.berlin,0,de,23,2072,12,2197,0.02915290154363791,neue
sbahn.berlin,0,de,23,2072,12,2197,0.02828365553548931,infos
sbahn.berlin,0,de,23,2072,12,2197,0.02803361739553022,informationen
sbahn.berlin,0,de,23,2072,12,2197,0.02687589284302232,kontakt
sbahn.berlin,0,de,23,2072,12,2197,0.02680652077662222,haben
sbahn.berlin,0,de,23,2072,12,2197,0.021493338100856362,mehr
sbahn.berlin,0,de,23,2072,12,2197,0.011890073168081897,impressum
sbahn.berlin,0,de,23,2072,12,2197,0.010043572173757934,unserer
thespis.digital,0,de,5,131,15,93,0.5199968322497937,weitere
thespis.digital,0,de,5,131,15,93,0.48601706662477784,informationen
thespis.digital,0,de,5,131,15,93,0.45472243689146247,ber
thespis.digital,0,de,5,131,15,93,0.4055816099486233,es
thespis.digital,0,de,5,131,15,93,0.3494592514995115,kontakt
statcube.co.at,0,de,9,433,14,205,0.9600937260173805,zurück
statcube.co.at,0,de,9,433,14,205,0.24883679938050368,ber
statcube.co.at,0,de,9,433,14,205,0.09561692430606958,kontakt
statcube.co.at,0,de,9,433,14,205,0.08460312241505923,impressum
statera.co.at,0,de,26,949,13,1097,0.5980938565472675,unsere
statera.co.at,0,de,26,949,13,1097,0.38837225271834674,cookies
statera.co.at,0,de,26,949,13,1097,0.38395306795557804,bis
statera.co.at,0,de,26,949,13,1097,0.3155416119231198,google
statera.co.at,0,de,26,949,13,1097,0.22962077300508463,mehr
statera.co.at,0,de,26,949,13,1097,0.2153433517699162,kontakt
statera.co.at,0,de,26,949,13,1097,0.21459791824321303,unserer
statera.co.at,0,de,26,949,13,1097,0.16661800181815556,es
statera.co.at,0,de,26,949,13,1097,0.12657040633322036,the
statera.co.at,0,de,26,949,13,1097,0.12541188735492356,erfahren
statera.co.at,0,de,26,949,13,1097,0.12316731954638156,website
statera.co.at,0,de,26,949,13,1097,0.10366381608908633,finden
statera.co.at,0,de,26,949,13,1097,0.0992648485049756,diese
statera.co.at,0,de,26,949,13,1097,0.06351288429769782,impressum
sbw.berlin,0,de,15,800,10,1093,0.954144819378257,berlin
sbw.berlin,0,de,15,800,10,1093,0.15408956121159237,erfahren
sbw.berlin,0,de,15,800,10,1093,0.09404255822864804,mehr
sbw.berlin,0,de,15,800,10,1093,0.0878898583870159,unserer
sbw.berlin,0,de,15,800,10,1093,0.08748984055506256,weitere
sbw.berlin,0,de,15,800,10,1093,0.08748318181078503,unsere
sbw.berlin,0,de,15,800,10,1093,0.08254942005603266,uhr
sbw.berlin,0,de,15,800,10,1093,0.08177272057998755,informationen
sbw.berlin,0,de,15,800,10,1093,0.07862513543032308,bis
sbw.berlin,0,de,15,800,10,1093,0.07819333845720054,haben
sbw.berlin,0,de,15,800,10,1093,0.05879677009166224,kontakt
sbw.berlin,0,de,15,800,10,1093,0.04245613466576863,finden
sbw.berlin,0,de,15,800,10,1093,0.04065451123353017,diese
sbw.berlin,0,de,15,800,10,1093,0.021259404721025138,neue
sbw.berlin,0,de,15,800,10,1093,0.019126844161875822,ber
sbw.berlin,0,de,15,800,10,1093,0.01705984930376694,es
sbw.berlin,0,de,15,800,10,1093,0.013006040441522622,impressum
threeoaks.coffee,0,de,1,577,16,1405,0.6586755128743396,es
threeoaks.coffee,0,de,1,577,16,1405,0.4528530973038628,haben
threeoaks.coffee,0,de,1,577,16,1405,0.31393162460688645,diese
threeoaks.coffee,0,de,1,577,16,1405,0.30356921964690026,bis
threeoaks.coffee,0,de,1,577,16,1405,0.2279442593178715,zurück
threeoaks.coffee,0,de,1,577,16,1405,0.20086368187068823,impressum
threeoaks.coffee,0,de,1,577,16,1405,0.17611482117709348,ab
threeoaks.coffee,0,de,1,577,16,1405,0.16967001442603022,unserer
