domain_name,label,language,malicious_tags,all_tags,domain_length,words_count,index,word
prepa.unimatehuala.edu.mx,0,es,4,285,25,175,0.6889419273793171,universidad
prepa.unimatehuala.edu.mx,0,es,4,285,25,175,0.4274498284096408,todos
prepa.unimatehuala.edu.mx,0,es,4,285,25,175,0.38706167186857793,no
prepa.unimatehuala.edu.mx,0,es,4,285,25,175,0.2889057841916016,febrero
prepa.unimatehuala.edu.mx,0,es,4,285,25,175,0.28760129193863293,datos
prepa.unimatehuala.edu.mx,0,es,4,285,25,175,0.16324175874330324,al
pivigames.blog,0,es,11,609,14,434,0.8969782824262904,febrero
pivigames.blog,0,es,11,609,14,434,0.43093166534341737,mundo
pivigames.blog,0,es,11,609,14,434,0.09862991767172331,sin
queshicou.cat,0,es,26,1378,13,2161,0.8281180626003837,precio
queshicou.cat,0,es,26,1378,13,2161,0.3104825794880956,todo
queshicou.cat,0,es,26,1378,13,2161,0.2891034362272066,no
queshicou.cat,0,es,26,1378,13,2161,0.21726841564884403,servicio
queshicou.cat,0,es,26,1378,13,2161,0.16257100377356462,al
queshicou.cat,0,es,26,1378,13,2161,0.15963504421837474,todos
queshicou.cat,0,es,26,1378,13,2161,0.12654785636729213,sin
queshicou.cat,0,es,26,1378,13,2161,0.10928869270683271,como
queshicou.cat,0,es,26,1378,13,2161,0.07343132433650795,vida
queshicou.cat,0,es,26,1378,13,2161,0.042088770989212834,más
quierochela.mx,0,es,8,1021,14,848,0.6532021939685609,carrito
quierochela.mx,0,es,8,1021,14,848,0.6376526832986045,añadir
quierochela.mx,0,es,8,1021,14,848,0.272536023098327,al
quierochela.mx,0,es,8,1021,14,848,0.25952398341420724,ver
quierochela.mx,0,es,8,1021,14,848,0.14780406045983238,servicio
quierochela.mx,0,es,8,1021,14,848,0.03620847313679078,todo
quierochela.mx,0,es,8,1021,14,848,0.028096031511241026,no
quierochela.mx,0,es,8,1021,14,848,0.020620623825830124,cómo
quierochela.mx,0,es,8,1021,14,848,0.017485058792241933,información
quierochela.mx,0,es,8,1021,14,848,0.01641256464316088,contacto
quierochela.mx,0,es,8,1021,14,848,0.012270979391469237,más
revistagestion.ec,0,es,34,674,17,851,0.6441890666951839,noticias
revistagestion.ec,0,es,34,674,17,851,0.3964958989540201,ver
revistagestion.ec,0,es,34,674,17,851,0.3734756564572668,nacional
revistagestion.ec,0,es,34,674,17,851,0.2920792232198658,como
revistagestion.ec,0,es,34,674,17,851,0.24789482888617534,salud
revistagestion.ec,0,es,34,674,17,851,0.2254701053538907,sin
revistagestion.ec,0,es,34,674,17,851,0.21723936541006844,al
revistagestion.ec,0,es,34,674,17,851,0.13083246851984937,vida
revistagestion.ec,0,es,34,674,17,851,0.10029923996573172,contacto
revistagestion.ec,0,es,34,674,17,851,0.09480716431793776,todos
revistagestion.ec,0,es,34,674,17,851,0.08584918530100016,no
rpp.pe,0,es,22,3161,6,3632,0.643632473786486,ver
rpp.pe,0,es,22,3161,6,3632,0.45741185118709976,más
rpp.pe,0,es,22,3161,6,3632,0.31704880725089657,salud
rpp.pe,0,es,22,3161,6,3632,0.2707174006035279,al
rpp.pe,0,es,22,3161,6,3632,0.19836190877736562,cómo
rpp.pe,0,es,22,3161,6,3632,0.19383580601088887,mundo
rpp.pe,0,es,22,3161,6,3632,0.19012967607530412,noticias
rpp.pe,0,es,22,3161,6,3632,0.15558539446705275,servicios
rpp.pe,0,es,22,3161,6,3632,0.13513612601422892,no
