domain_name,label,language,malicious_tags,all_tags,domain_length,words_count,index,word
fbgch.blogspot.fi,1,en,1,99,17,26,0.35655799801607646,posts
fbgch.blogspot.fi,1,en,1,99,17,26,0.3526727967883559,profile
fbgch.blogspot.fi,1,en,1,99,17,26,0.3483682467221763,visit
fbgch.blogspot.fi,1,en,1,99,17,26,0.33878424414032976,skip
fbgch.blogspot.fi,1,en,1,99,17,26,0.3353781726740567,report
fbgch.blogspot.fi,1,en,1,99,17,26,0.3324408317593153,blog
fbgch.blogspot.fi,1,en,1,99,17,26,0.32269718979232354,content
fbgch.blogspot.fi,1,en,1,99,17,26,0.3149961297162019,search
fbgch.blogspot.fi,1,en,1,99,17,26,0.2932603445595145,powered
rjymb.blogspot.hr,1,en,1,99,17,26,0.35655799801607646,posts
rjymb.blogspot.hr,1,en,1,99,17,26,0.3526727967883559,profile
rjymb.blogspot.hr,1,en,1,99,17,26,0.3483682467221763,visit
rjymb.blogspot.hr,1,en,1,99,17,26,0.33878424414032976,skip
rjymb.blogspot.hr,1,en,1,99,17,26,0.3353781726740567,report
rjymb.blogspot.hr,1,en,1,99,17,26,0.3324408317593153,blog
rjymb.blogspot.hr,1,en,1,99,17,26,0.32269718979232354,content
rjymb.blogspot.hr,1,en,1,99,17,26,0.3149961297162019,search
rjymb.blogspot.hr,1,en,1,99,17,26,0.2932603445595145,powered
spst3.mjt.lu,1,en,1,23,12,115,0.5873774633634458,well
spst3.mjt.lu,1,en,1,23,12,115,0.49427297780414853,use
spst3.mjt.lu,1,en,1,23,12,115,0.3977848382403901,link
spst3.mjt.lu,1,en,1,23,12,115,0.3898429955182376,contact
spst3.mjt.lu,1,en,1,23,12,115,0.3169725544219524,content
rmtjy.blogspot.am,1,en,1,99,17,26,0.35655799801607646,posts
rmtjy.blogspot.am,1,en,1,99,17,26,0.3526727967883559,profile
rmtjy.blogspot.am,1,en,1,99,17,26,0.3483682467221763,visit
rmtjy.blogspot.am,1,en,1,99,17,26,0.33878424414032976,skip
rmtjy.blogspot.am,1,en,1,99,17,26,0.3353781726740567,report
rmtjy.blogspot.am,1,en,1,99,17,26,0.3324408317593153,blog
rmtjy.blogspot.am,1,en,1,99,17,26,0.32269718979232354,content
rmtjy.blogspot.am,1,en,1,99,17,26,0.3149961297162019,search
rmtjy.blogspot.am,1,en,1,99,17,26,0.2932603445595145,powered
bigbangmanifesto.com,1,en,8,341,20,905,0.7861182167126044,business
bigbangmanifesto.com,1,en,8,341,20,905,0.368441549706715,use
bigbangmanifesto.com,1,en,8,341,20,905,0.3007469417345688,email
bigbangmanifesto.com,1,en,8,341,20,905,0.2510809894639582,everything
bigbangmanifesto.com,1,en,8,341,20,905,0.17580460538899334,new
bigbangmanifesto.com,1,en,8,341,20,905,0.1474188677157551,home
bigbangmanifesto.com,1,en,8,341,20,905,0.1452986141880098,contact
bigbangmanifesto.com,1,en,8,341,20,905,0.13793954635956066,page
norpesaunaservicefr.firebaseapp.com,1,en,1,7,35,15,0.7321262820332924,link
norpesaunaservicefr.firebaseapp.com,1,en,1,7,35,15,0.6811689270336015,page
gordaisbas-assiais.firebaseapp.com,1,en,1,7,34,14,0.7321262820332924,link
gordaisbas-assiais.firebaseapp.com,1,en,1,7,34,14,0.6811689270336015,page
fr-messnotif.firebaseapp.com,1,en,1,4,28,13,0.7321262820332924,link
fr-messnotif.firebaseapp.com,1,en,1,4,28,13,0.6811689270336015,page
bgqecf.blogspot.md,1,en,1,99,18,26,0.35655799801607646,posts
bgqecf.blogspot.md,1,en,1,99,18,26,0.3526727967883559,profile
bgqecf.blogspot.md,1,en,1,99,18,26,0.3483682467221763,visit
bgqecf.blogspot.md,1,en,1,99,18,26,0.33878424414032976,skip
bgqecf.blogspot.md,1,en,1,99,18,26,0.3353781726740567,report
bgqecf.blogspot.md,1,en,1,99,18,26,0.3324408317593153,blog
bgqecf.blogspot.md,1,en,1,99,18,26,0.32269718979232354,content
bgqecf.blogspot.md,1,en,1,99,18,26,0.3149961297162019,search
bgqecf.blogspot.md,1,en,1,99,18,26,0.2932603445595145,powered
adisabebai.web.app,1,en,1,4,18,13,0.7321262820332924,link
adisabebai.web.app,1,en,1,4,18,13,0.6811689270336015,page
accountcpanelupdate.web.app,1,en,3,34,27,22,1.0,email
btcustmersso.weebly.com,1,en,22,131,23,30,0.9352465151694397,home
btcustmersso.weebly.com,1,en,22,131,23,30,0.1957730661680239,create
btcustmersso.weebly.com,1,en,22,131,23,30,0.1907981885652901,email
btcustmersso.weebly.com,1,en,22,131,23,30,0.1789576890161551,website
btcustmersso.weebly.com,1,en,22,131,23,30,0.13622429742447079,powered
threadandvelcrotfr.firebaseapp.com,1,en,1,7,34,14,0.7321262820332924,link
threadandvelcrotfr.firebaseapp.com,1,en,1,7,34,14,0.6811689270336015,page
873482418024-29jungspl.start.page,1,en,1,28,33,5,0.7891416768012847,page
873482418024-29jungspl.start.page,1,en,1,28,33,5,0.6142112128048923,powered
nethc.blogspot.com,1,en,1,99,18,26,0.35655799801607646,posts
nethc.blogspot.com,1,en,1,99,18,26,0.3526727967883559,profile
nethc.blogspot.com,1,en,1,99,18,26,0.3483682467221763,visit
nethc.blogspot.com,1,en,1,99,18,26,0.33878424414032976,skip
nethc.blogspot.com,1,en,1,99,18,26,0.3353781726740567,report
nethc.blogspot.com,1,en,1,99,18,26,0.3324408317593153,blog
nethc.blogspot.com,1,en,1,99,18,26,0.32269718979232354,content
nethc.blogspot.com,1,en,1,99,18,26,0.3149961297162019,search
nethc.blogspot.com,1,en,1,99,18,26,0.2932603445595145,powered
