domain_name,label,language,malicious_tags,all_tags,domain_length,words_count,index,word
session.albrightabstract.com,1,fr,5,251,28,15,0.8591734027367375,in
session.albrightabstract.com,1,fr,5,251,28,15,0.5116845356562731,contact
cndj.ci,1,fr,15,621,7,422,0.9839437009227175,de
cndj.ci,1,fr,15,621,7,422,0.10174127532180227,services
cndj.ci,1,fr,15,621,7,422,0.09733561478127743,service
cndj.ci,1,fr,15,621,7,422,0.09404355888075937,accueil
cndj.ci,1,fr,15,621,7,422,0.05643663206279253,votre
viamobte.blogspot.com,1,fr,1,99,21,31,1.0,de
acnote008.firebaseapp.com,1,fr,1,40,25,67,0.5503661376820617,de
acnote008.firebaseapp.com,1,fr,1,40,25,67,0.4971908211141667,votre
acnote008.firebaseapp.com,1,fr,1,40,25,67,0.48919968445303436,espace
acnote008.firebaseapp.com,1,fr,1,40,25,67,0.458892221141089,vos
s4iq9.shop,1,fr,3,13,10,7,1.0,contact
goutezlaqualite.com,1,fr,50,584,19,317,0.6971741940367506,produits
goutezlaqualite.com,1,fr,50,584,19,317,0.5109537897148032,de
goutezlaqualite.com,1,fr,50,584,19,317,0.3624657123651803,plus
goutezlaqualite.com,1,fr,50,584,19,317,0.3079314466416792,site
goutezlaqualite.com,1,fr,50,584,19,317,0.13916631590663728,contact
goutezlaqualite.com,1,fr,50,584,19,317,0.08546306799446594,accueil
doc-postale.firebaseapp.com,1,fr,3,48,27,71,0.8464375205614209,de
doc-postale.firebaseapp.com,1,fr,3,48,27,71,0.33984726978879787,votre
doc-postale.firebaseapp.com,1,fr,3,48,27,71,0.3136688407332963,vos
doc-postale.firebaseapp.com,1,fr,3,48,27,71,0.2042201632707541,services
doc-postale.firebaseapp.com,1,fr,3,48,27,71,0.16719252456264627,espace
sogenrle.inovaperf.me,1,fr,1,23,21,69,0.7884294583968774,votre
sogenrle.inovaperf.me,1,fr,1,23,21,69,0.559983884188929,pouvez
sogenrle.inovaperf.me,1,fr,1,23,21,69,0.21830902543576736,vos
sogenrle.inovaperf.me,1,fr,1,23,21,69,0.13091297870712595,de
megaaaglisse.com,1,fr,4,206,16,112,0.6575435923206301,accueil
megaaaglisse.com,1,fr,4,206,16,112,0.5460032136998432,de
megaaaglisse.com,1,fr,4,206,16,112,0.35691018915602785,contact
megaaaglisse.com,1,fr,4,206,16,112,0.23896536538411525,dun
megaaaglisse.com,1,fr,4,206,16,112,0.18591812985783143,plus
megaaaglisse.com,1,fr,4,206,16,112,0.1821017757670524,vos
megaaaglisse.com,1,fr,4,206,16,112,0.13153318251917198,votre
www.passion-coiffure-fougeres.fr,1,fr,4,96,32,224,0.7714585409957553,de
www.passion-coiffure-fougeres.fr,1,fr,4,96,32,224,0.3859427015842126,vos
www.passion-coiffure-fougeres.fr,1,fr,4,96,32,224,0.371691574454914,votre
www.passion-coiffure-fougeres.fr,1,fr,4,96,32,224,0.1804494140883422,produits
www.passion-coiffure-fougeres.fr,1,fr,4,96,32,224,0.16751697181954586,services
www.passion-coiffure-fougeres.fr,1,fr,4,96,32,224,0.15484268457427178,accueil
www.passion-coiffure-fougeres.fr,1,fr,4,96,32,224,0.13134366758840124,plus
www.passion-coiffure-fougeres.fr,1,fr,4,96,32,224,0.12607133386956262,contact
1cogeco.globaliademo.com,1,fr,3,204,24,302,0.9187030942566433,de
1cogeco.globaliademo.com,1,fr,3,204,24,302,0.28368731910331996,accueil
1cogeco.globaliademo.com,1,fr,3,204,24,302,0.1702440554106857,votre
1cogeco.globaliademo.com,1,fr,3,204,24,302,0.1347544335550171,aux
1cogeco.globaliademo.com,1,fr,3,204,24,302,0.1203173822573413,plus
1cogeco.globaliademo.com,1,fr,3,204,24,302,0.11784761917226319,vos
fr.client.activation-lbp.inovaperf.me,1,fr,1,23,37,69,0.7884294583968774,votre
fr.client.activation-lbp.inovaperf.me,1,fr,1,23,37,69,0.559983884188929,pouvez
fr.client.activation-lbp.inovaperf.me,1,fr,1,23,37,69,0.21830902543576736,vos
fr.client.activation-lbp.inovaperf.me,1,fr,1,23,37,69,0.13091297870712595,de
saulunivamu.weebly.com,1,fr,18,109,22,32,0.6653391886272719,votre
saulunivamu.weebly.com,1,fr,18,109,22,32,0.5523736721537718,de
saulunivamu.weebly.com,1,fr,18,109,22,32,0.5022022405248319,se
verta-ppart.web.app,1,fr,1,146,19,75,0.7037797621090184,site
verta-ppart.web.app,1,fr,1,146,19,75,0.5190173050903165,de
verta-ppart.web.app,1,fr,1,146,19,75,0.27751385819044605,pouvez
verta-ppart.web.app,1,fr,1,146,19,75,0.26955206810612287,service
verta-ppart.web.app,1,fr,1,146,19,75,0.2474190203747884,aux
verta-ppart.web.app,1,fr,1,146,19,75,0.15629028412317794,votre
projets.fondationorange.com,1,fr,8,172,27,379,0.5400452690329738,to
projets.fondationorange.com,1,fr,8,172,27,379,0.49026809350828987,de
projets.fondationorange.com,1,fr,8,172,27,379,0.44319750527889634,site
projets.fondationorange.com,1,fr,8,172,27,379,0.32794597802848974,on
projets.fondationorange.com,1,fr,8,172,27,379,0.29526622283858406,votre
projets.fondationorange.com,1,fr,8,172,27,379,0.13911659123819406,plus
projets.fondationorange.com,1,fr,8,172,27,379,0.11210750133207677,in
