domain_name,label,language,malicious_tags,all_tags,domain_length,words_count,index,word
thnux.blogspot.tw,1,ru,1,99,17,26,0.23177090558700944,elkan
thnux.blogspot.tw,1,ru,1,99,17,26,0.23177090558700944,michael
thnux.blogspot.tw,1,ru,1,99,17,26,0.23177090558700944,блогу
thnux.blogspot.tw,1,ru,1,99,17,26,0.23177090558700944,контенту
thnux.blogspot.tw,1,ru,1,99,17,26,0.23154975240228276,blogger
thnux.blogspot.tw,1,ru,1,99,17,26,0.23154975240228276,изображений
thnux.blogspot.tw,1,ru,1,99,17,26,0.23154975240228276,нарушении
thnux.blogspot.tw,1,ru,1,99,17,26,0.2313288442626863,основному
thnux.blogspot.tw,1,ru,1,99,17,26,0.2313288442626863,темы
thnux.blogspot.tw,1,ru,1,99,17,26,0.2311081806257846,автор
thnux.blogspot.tw,1,ru,1,99,17,26,0.23066758469931148,профиль
thnux.blogspot.tw,1,ru,1,99,17,26,0.23066758469931148,сообщений
thnux.blogspot.tw,1,ru,1,99,17,26,0.23066758469931148,сообщения
thnux.blogspot.tw,1,ru,1,99,17,26,0.23044765133383302,этому
thnux.blogspot.tw,1,ru,1,99,17,26,0.2300085111219524,сообщить
thnux.blogspot.tw,1,ru,1,99,17,26,0.22913312189739982,посмотреть
thnux.blogspot.tw,1,ru,1,99,17,26,0.227610379056698,технологии
thnux.blogspot.tw,1,ru,1,99,17,26,0.226099178503322,поиск
thnux.blogspot.tw,1,ru,1,99,17,26,0.20684321705421113,для
ffebq.blogspot.is,1,ru,1,99,17,26,0.23177090558700944,elkan
ffebq.blogspot.is,1,ru,1,99,17,26,0.23177090558700944,michael
ffebq.blogspot.is,1,ru,1,99,17,26,0.23177090558700944,блогу
ffebq.blogspot.is,1,ru,1,99,17,26,0.23177090558700944,контенту
ffebq.blogspot.is,1,ru,1,99,17,26,0.23154975240228276,blogger
ffebq.blogspot.is,1,ru,1,99,17,26,0.23154975240228276,изображений
ffebq.blogspot.is,1,ru,1,99,17,26,0.23154975240228276,нарушении
ffebq.blogspot.is,1,ru,1,99,17,26,0.2313288442626863,основному
ffebq.blogspot.is,1,ru,1,99,17,26,0.2313288442626863,темы
ffebq.blogspot.is,1,ru,1,99,17,26,0.2311081806257846,автор
ffebq.blogspot.is,1,ru,1,99,17,26,0.23066758469931148,профиль
ffebq.blogspot.is,1,ru,1,99,17,26,0.23066758469931148,сообщений
ffebq.blogspot.is,1,ru,1,99,17,26,0.23066758469931148,сообщения
ffebq.blogspot.is,1,ru,1,99,17,26,0.23044765133383302,этому
ffebq.blogspot.is,1,ru,1,99,17,26,0.2300085111219524,сообщить
ffebq.blogspot.is,1,ru,1,99,17,26,0.22913312189739982,посмотреть
ffebq.blogspot.is,1,ru,1,99,17,26,0.227610379056698,технологии
ffebq.blogspot.is,1,ru,1,99,17,26,0.226099178503322,поиск
ffebq.blogspot.is,1,ru,1,99,17,26,0.20684321705421113,для
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23177090558700944,elkan
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23177090558700944,michael
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23177090558700944,блогу
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23177090558700944,контенту
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23154975240228276,blogger
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23154975240228276,изображений
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23154975240228276,нарушении
wnbgq.blogspot.am,1,ru,1,99,17,26,0.2313288442626863,основному
wnbgq.blogspot.am,1,ru,1,99,17,26,0.2313288442626863,темы
wnbgq.blogspot.am,1,ru,1,99,17,26,0.2311081806257846,автор
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23066758469931148,профиль
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23066758469931148,сообщений
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23066758469931148,сообщения
wnbgq.blogspot.am,1,ru,1,99,17,26,0.23044765133383302,этому
wnbgq.blogspot.am,1,ru,1,99,17,26,0.2300085111219524,сообщить
wnbgq.blogspot.am,1,ru,1,99,17,26,0.22913312189739982,посмотреть
wnbgq.blogspot.am,1,ru,1,99,17,26,0.227610379056698,технологии
wnbgq.blogspot.am,1,ru,1,99,17,26,0.226099178503322,поиск
wnbgq.blogspot.am,1,ru,1,99,17,26,0.20684321705421113,для
nhbnf.blogspot.is,1,ru,1,99,17,26,0.23177090558700944,elkan
nhbnf.blogspot.is,1,ru,1,99,17,26,0.23177090558700944,michael
nhbnf.blogspot.is,1,ru,1,99,17,26,0.23177090558700944,блогу
nhbnf.blogspot.is,1,ru,1,99,17,26,0.23177090558700944,контенту
nhbnf.blogspot.is,1,ru,1,99,17,26,0.23154975240228276,blogger
nhbnf.blogspot.is,1,ru,1,99,17,26,0.23154975240228276,изображений
nhbnf.blogspot.is,1,ru,1,99,17,26,0.23154975240228276,нарушении
