domain_name,label,language,malicious_tags,all_tags,domain_length,words_count,index,word
provinsol.webcindario.com,1,es,1,17,25,27,0.41056589849460295,web
provinsol.webcindario.com,1,es,1,17,25,27,0.2345006800892321,miarrobacom
provinsol.webcindario.com,1,es,1,17,25,27,0.2345006800892321,mysql
provinsol.webcindario.com,1,es,1,17,25,27,0.23421687554800555,php
provinsol.webcindario.com,1,es,1,17,25,27,0.2339336280327331,solicitada
provinsol.webcindario.com,1,es,1,17,25,27,0.23308720588375584,url
provinsol.webcindario.com,1,es,1,17,25,27,0.23280616477701316,escrito
provinsol.webcindario.com,1,es,1,17,25,27,0.23168744163440955,dominio
provinsol.webcindario.com,1,es,1,17,25,27,0.23168744163440955,gratuito
provinsol.webcindario.com,1,es,1,17,25,27,0.2311313154637244,propio
provinsol.webcindario.com,1,es,1,17,25,27,0.2311313154637244,volver
provinsol.webcindario.com,1,es,1,17,25,27,0.23002545133439423,totalmente
provinsol.webcindario.com,1,es,1,17,25,27,0.22975030432501503,quieres
provinsol.webcindario.com,1,es,1,17,25,27,0.22783882521867568,disponible
provinsol.webcindario.com,1,es,1,17,25,27,0.22173076555610402,crear
provinsol.webcindario.com,1,es,1,17,25,27,0.2121733481605797,sitio
provinsol.webcindario.com,1,es,1,17,25,27,0.19326833136804517,no
tecniagua.es,1,es,11,354,12,783,0.4441558943655583,productos
tecniagua.es,1,es,11,354,12,783,0.37154497447620227,inicio
tecniagua.es,1,es,11,354,12,783,0.30872167918219173,precio
tecniagua.es,1,es,11,354,12,783,0.3028174175141416,producto
tecniagua.es,1,es,11,354,12,783,0.29162094710306086,como
tecniagua.es,1,es,11,354,12,783,0.285535029189325,servicios
tecniagua.es,1,es,11,354,12,783,0.273245928929129,más
tecniagua.es,1,es,11,354,12,783,0.26652169706961426,leer
tecniagua.es,1,es,11,354,12,783,0.2641397672670622,al
tecniagua.es,1,es,11,354,12,783,0.17481109544317877,contacto
tecniagua.es,1,es,11,354,12,783,0.16790470742280314,septiembre
tecniagua.es,1,es,11,354,12,783,0.11443484129250038,totalmente
tecniagua.es,1,es,11,354,12,783,0.10924373138897875,ver
tecniagua.es,1,es,11,354,12,783,0.09614862485289542,no
tecniagua.es,1,es,11,354,12,783,0.05106287495773912,web
eswebcam.weebly.com,1,es,14,118,19,89,0.6840365189834966,by
eswebcam.weebly.com,1,es,14,118,19,89,0.5715402544976469,servicios
eswebcam.weebly.com,1,es,14,118,19,89,0.3494247994639036,solicitada
eswebcam.weebly.com,1,es,14,118,19,89,0.2886833692911946,no
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.41056589849460295,web
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.2345006800892321,miarrobacom
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.2345006800892321,mysql
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.23421687554800555,php
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.2339336280327331,solicitada
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.23308720588375584,url
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.23280616477701316,escrito
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.23168744163440955,dominio
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.23168744163440955,gratuito
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.2311313154637244,propio
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.2311313154637244,volver
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.23002545133439423,totalmente
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.22975030432501503,quieres
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.22783882521867568,disponible
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.22173076555610402,crear
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.2121733481605797,sitio
seguridad-bi.webcindario.com,1,es,1,17,28,27,0.19326833136804517,no
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.41056589849460295,web
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.2345006800892321,miarrobacom
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.2345006800892321,mysql
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.23421687554800555,php
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.2339336280327331,solicitada
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.23308720588375584,url
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.23280616477701316,escrito
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.23168744163440955,dominio
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.23168744163440955,gratuito
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.2311313154637244,propio
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.2311313154637244,volver
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.23002545133439423,totalmente
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.22975030432501503,quieres
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.22783882521867568,disponible
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.22173076555610402,crear
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.2121733481605797,sitio
cod042-bn-cr.webcindario.com,1,es,1,17,28,27,0.19326833136804517,no
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.41056589849460295,web
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.2345006800892321,miarrobacom
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.2345006800892321,mysql
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.23421687554800555,php
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.2339336280327331,solicitada
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.23308720588375584,url
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.23280616477701316,escrito
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.23168744163440955,dominio
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.23168744163440955,gratuito
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.2311313154637244,propio
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.2311313154637244,volver
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.23002545133439423,totalmente
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.22975030432501503,quieres
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.22783882521867568,disponible
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.22173076555610402,crear
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.2121733481605797,sitio
reactivaraquui.webcindario.com,1,es,1,17,30,27,0.19326833136804517,no
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.41056589849460295,web
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.2345006800892321,miarrobacom
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.2345006800892321,mysql
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.23421687554800555,php
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.2339336280327331,solicitada
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.23308720588375584,url
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.23280616477701316,escrito
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.23168744163440955,dominio
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.23168744163440955,gratuito
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.2311313154637244,propio
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.2311313154637244,volver
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.23002545133439423,totalmente
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.22975030432501503,quieres
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.22783882521867568,disponible
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.22173076555610402,crear
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.2121733481605797,sitio
biwebseguridad.webcindario.com,1,es,1,17,30,27,0.19326833136804517,no
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.41056589849460295,web
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.2345006800892321,miarrobacom
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.2345006800892321,mysql
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.23421687554800555,php
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.2339336280327331,solicitada
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.23308720588375584,url
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.23280616477701316,escrito
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.23168744163440955,dominio
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.23168744163440955,gratuito
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.2311313154637244,propio
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.2311313154637244,volver
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.23002545133439423,totalmente
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.22975030432501503,quieres
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.22783882521867568,disponible
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.22173076555610402,crear
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.2121733481605797,sitio
0utlook-validar.webcindario.com,1,es,1,17,31,27,0.19326833136804517,no
userrpichinch.webcindario.com,1,es,1,17,29,27,0.41056589849460295,web
userrpichinch.webcindario.com,1,es,1,17,29,27,0.2345006800892321,miarrobacom
userrpichinch.webcindario.com,1,es,1,17,29,27,0.2345006800892321,mysql
userrpichinch.webcindario.com,1,es,1,17,29,27,0.23421687554800555,php
userrpichinch.webcindario.com,1,es,1,17,29,27,0.2339336280327331,solicitada
userrpichinch.webcindario.com,1,es,1,17,29,27,0.23308720588375584,url
userrpichinch.webcindario.com,1,es,1,17,29,27,0.23280616477701316,escrito
userrpichinch.webcindario.com,1,es,1,17,29,27,0.23168744163440955,dominio
userrpichinch.webcindario.com,1,es,1,17,29,27,0.23168744163440955,gratuito
userrpichinch.webcindario.com,1,es,1,17,29,27,0.2311313154637244,propio
userrpichinch.webcindario.com,1,es,1,17,29,27,0.2311313154637244,volver
userrpichinch.webcindario.com,1,es,1,17,29,27,0.23002545133439423,totalmente
userrpichinch.webcindario.com,1,es,1,17,29,27,0.22975030432501503,quieres
userrpichinch.webcindario.com,1,es,1,17,29,27,0.22783882521867568,disponible
userrpichinch.webcindario.com,1,es,1,17,29,27,0.22173076555610402,crear
userrpichinch.webcindario.com,1,es,1,17,29,27,0.2121733481605797,sitio
userrpichinch.webcindario.com,1,es,1,17,29,27,0.19326833136804517,no
proviumlp.webcindario.com,1,es,1,17,25,27,0.41056589849460295,web
proviumlp.webcindario.com,1,es,1,17,25,27,0.2345006800892321,miarrobacom
proviumlp.webcindario.com,1,es,1,17,25,27,0.2345006800892321,mysql
proviumlp.webcindario.com,1,es,1,17,25,27,0.23421687554800555,php
proviumlp.webcindario.com,1,es,1,17,25,27,0.2339336280327331,solicitada
proviumlp.webcindario.com,1,es,1,17,25,27,0.23308720588375584,url
proviumlp.webcindario.com,1,es,1,17,25,27,0.23280616477701316,escrito
proviumlp.webcindario.com,1,es,1,17,25,27,0.23168744163440955,dominio
proviumlp.webcindario.com,1,es,1,17,25,27,0.23168744163440955,gratuito
proviumlp.webcindario.com,1,es,1,17,25,27,0.2311313154637244,propio
proviumlp.webcindario.com,1,es,1,17,25,27,0.2311313154637244,volver
proviumlp.webcindario.com,1,es,1,17,25,27,0.23002545133439423,totalmente
proviumlp.webcindario.com,1,es,1,17,25,27,0.22975030432501503,quieres
proviumlp.webcindario.com,1,es,1,17,25,27,0.22783882521867568,disponible
proviumlp.webcindario.com,1,es,1,17,25,27,0.22173076555610402,crear
proviumlp.webcindario.com,1,es,1,17,25,27,0.2121733481605797,sitio
proviumlp.webcindario.com,1,es,1,17,25,27,0.19326833136804517,no
provinsdxm.webcindario.com,1,es,1,17,26,27,0.41056589849460295,web
provinsdxm.webcindario.com,1,es,1,17,26,27,0.2345006800892321,miarrobacom
provinsdxm.webcindario.com,1,es,1,17,26,27,0.2345006800892321,mysql
provinsdxm.webcindario.com,1,es,1,17,26,27,0.23421687554800555,php
provinsdxm.webcindario.com,1,es,1,17,26,27,0.2339336280327331,solicitada
provinsdxm.webcindario.com,1,es,1,17,26,27,0.23308720588375584,url
provinsdxm.webcindario.com,1,es,1,17,26,27,0.23280616477701316,escrito
provinsdxm.webcindario.com,1,es,1,17,26,27,0.23168744163440955,dominio
provinsdxm.webcindario.com,1,es,1,17,26,27,0.23168744163440955,gratuito
provinsdxm.webcindario.com,1,es,1,17,26,27,0.2311313154637244,propio
provinsdxm.webcindario.com,1,es,1,17,26,27,0.2311313154637244,volver
provinsdxm.webcindario.com,1,es,1,17,26,27,0.23002545133439423,totalmente
provinsdxm.webcindario.com,1,es,1,17,26,27,0.22975030432501503,quieres
provinsdxm.webcindario.com,1,es,1,17,26,27,0.22783882521867568,disponible
provinsdxm.webcindario.com,1,es,1,17,26,27,0.22173076555610402,crear
provinsdxm.webcindario.com,1,es,1,17,26,27,0.2121733481605797,sitio
provinsdxm.webcindario.com,1,es,1,17,26,27,0.19326833136804517,no
mapsa.com.pe,1,es,15,498,12,459,0.7415430000152784,servicios
mapsa.com.pe,1,es,15,498,12,459,0.5575647310766539,más
mapsa.com.pe,1,es,15,498,12,459,0.2584589456588813,inicio
mapsa.com.pe,1,es,15,498,12,459,0.24320873391660935,contacto
mapsa.com.pe,1,es,15,498,12,459,0.10819261580422446,como
mapsa.com.pe,1,es,15,498,12,459,0.02937063783863633,sitio
mapsa.com.pe,1,es,15,498,12,459,0.026753662585332426,no
laligasanitaria.com.uy,1,es,29,730,22,692,0.7590285909624436,servicios
laligasanitaria.com.uy,1,es,29,730,22,692,0.39619683857126375,más
laligasanitaria.com.uy,1,es,29,730,22,692,0.3168373067496393,contacto
laligasanitaria.com.uy,1,es,29,730,22,692,0.25532881957850384,al
laligasanitaria.com.uy,1,es,29,730,22,692,0.2375992636724753,ver
laligasanitaria.com.uy,1,es,29,730,22,692,0.14094665290006636,como
laligasanitaria.com.uy,1,es,29,730,22,692,0.13468173602020284,inicio
laligasanitaria.com.uy,1,es,29,730,22,692,0.0828639793464948,quieres
aiosensors.com,1,es,38,683,14,551,0.498915217495935,como
aiosensors.com,1,es,38,683,14,551,0.4885032183245556,servicios
aiosensors.com,1,es,38,683,14,551,0.4767390089560471,inicio
aiosensors.com,1,es,38,683,14,551,0.3799386443957684,productos
aiosensors.com,1,es,38,683,14,551,0.2990728772062916,contacto
aiosensors.com,1,es,38,683,14,551,0.18689795965424244,ver
aiosensors.com,1,es,38,683,14,551,0.09836015626943559,propio
aiosensors.com,1,es,38,683,14,551,0.08224719890142948,no
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.41056589849460295,web
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.2345006800892321,miarrobacom
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.2345006800892321,mysql
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.23421687554800555,php
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.2339336280327331,solicitada
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.23308720588375584,url
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.23280616477701316,escrito
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.23168744163440955,dominio
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.23168744163440955,gratuito
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.2311313154637244,propio
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.2311313154637244,volver
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.23002545133439423,totalmente
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.22975030432501503,quieres
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.22783882521867568,disponible
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.22173076555610402,crear
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.2121733481605797,sitio
pichinchawebsed.webcindario.com,1,es,1,17,31,27,0.19326833136804517,no
cuentosparasuperpadres.com,1,es,13,291,26,436,0.7447310926581481,leer
cuentosparasuperpadres.com,1,es,13,291,26,436,0.5090135661328642,más
cuentosparasuperpadres.com,1,es,13,291,26,436,0.27162164652501103,como
cuentosparasuperpadres.com,1,es,13,291,26,436,0.2595483762256631,inicio
cuentosparasuperpadres.com,1,es,13,291,26,436,0.155135917712462,productos
cuentosparasuperpadres.com,1,es,13,291,26,436,0.12301255998674383,al
cuentosparasuperpadres.com,1,es,13,291,26,436,0.07705756146925907,crear
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.41056589849460295,web
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.2345006800892321,miarrobacom
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.2345006800892321,mysql
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.23421687554800555,php
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.2339336280327331,solicitada
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.23308720588375584,url
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.23280616477701316,escrito
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.23168744163440955,dominio
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.23168744163440955,gratuito
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.2311313154637244,propio
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.2311313154637244,volver
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.23002545133439423,totalmente
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.22975030432501503,quieres
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.22783882521867568,disponible
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.22173076555610402,crear
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.2121733481605797,sitio
fassilnetdigital.webcindario.com,1,es,1,17,32,27,0.19326833136804517,no
noctr.webcindario.com,1,es,1,17,21,27,0.41056589849460295,web
noctr.webcindario.com,1,es,1,17,21,27,0.2345006800892321,miarrobacom
noctr.webcindario.com,1,es,1,17,21,27,0.2345006800892321,mysql
noctr.webcindario.com,1,es,1,17,21,27,0.23421687554800555,php
noctr.webcindario.com,1,es,1,17,21,27,0.2339336280327331,solicitada
noctr.webcindario.com,1,es,1,17,21,27,0.23308720588375584,url
noctr.webcindario.com,1,es,1,17,21,27,0.23280616477701316,escrito
noctr.webcindario.com,1,es,1,17,21,27,0.23168744163440955,dominio
noctr.webcindario.com,1,es,1,17,21,27,0.23168744163440955,gratuito
noctr.webcindario.com,1,es,1,17,21,27,0.2311313154637244,propio
noctr.webcindario.com,1,es,1,17,21,27,0.2311313154637244,volver
noctr.webcindario.com,1,es,1,17,21,27,0.23002545133439423,totalmente
