domain_name,label,language,malicious_tags,all_tags,word_count,domain_length,posts,profile,visit,skip,report,blog,content,search,powered,well,use,link,contact,business,email,everything,new,home,page,create,website,services,free,data,facebook,account,designed,things,outdated,insecure,policy,service,support,help,privacy,learn,information,management,time,health,events,view,news,best,find,online,read,standard,school
fbgch.blogspot.fi,1,en,1,99,26,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rjymb.blogspot.hr,1,en,1,99,26,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spst3.mjt.lu,1,en,1,23,115,12,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rmtjy.blogspot.am,1,en,1,99,26,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bigbangmanifesto.com,1,en,8,341,905,20,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,3,0,0,2,0,0
norpesaunaservicefr.firebaseapp.com,1,en,1,7,15,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jks-cleaning.com,1,en,4,44,36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gordaisbas-assiais.firebaseapp.com,1,en,1,7,14,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fr-messnotif.firebaseapp.com,1,en,1,4,13,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bgqecf.blogspot.md,1,en,1,99,26,18,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adisabebai.web.app,1,en,1,4,13,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accountcpanelupdate.web.app,1,en,3,34,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
btcustmersso.weebly.com,1,en,22,131,30,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threadandvelcrotfr.firebaseapp.com,1,en,1,7,14,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
server1620104.netart.com,1,en,1,7,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873482418024-29jungspl.start.page,1,en,1,28,5,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nethc.blogspot.com,1,en,1,99,26,18,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curodentdentalclinic.com,1,en,13,554,911,24,0,0,2,0,0,3,0,0,0,3,1,0,6,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,8,0,0,6,0,0
